100, 85 //sub 
101, 00	//memdir
102, 10	//sa adrese hiljadu
103, 00
104, 84 //add
105, C0 //immed
106, 00 //dodajem 10 da bi u akumulatoru bila vrednost veca od 0 
107, 0A
108, 85 //sub
109, c0 //immed
10A, 00
10B, 08 //oduzimam 8, 10-8
10C, 85
10D, 40 // memind
10E, 10 //sa adrese 1002 citam adresu na kojoj se nalazi operand
10F, 02
110, 85
111, 80 //pcrel
112, 03 //pomeraj

116, 00 //113+3 nalazi se operand
117, 01






1000, 00
1001, 00 //na adresi 1000 je 0000
1002, 20
1003, 00

2000, 00
2001, 01
